"PVWatts: Hourly PV Performance Data"
"Requested Location:","johannesburg south africa"
"Location:","HARARE, ZIMBABWE"
"Lat (deg S):","17.92"
"Long (deg E):","31.13"
"Elev (m):","1503"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","30"
"Array Azimuth (deg):","0"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","1.85"
"Initial Cost","40.00"
"Cost of Electricity Generated by System ($/kWh):","1.88"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","12","21","0","0","18.7","3","0","18.7","0","0"
"4","12","22","0","0","18.4","3","0","18.4","0","0"
"4","12","23","0","0","18.2","2.3","0","18.2","0","0"
"4","13","0","0","0","17.9","1.7","0","17.9","0","0"
"4","13","1","0","0","17.7","1","0","17.7","0","0"
"4","13","2","0","0","17.4","0.7","0","17.4","0","0"
"4","13","3","0","0","17","0.3","0","17","0","0"
"4","13","4","0","0","16.7","0","0","16.7","0","0"
"4","13","5","0","0","15.6","1","0","15.6","0","0"
"4","13","6","15","30","16.5","2.5","31.456","15.56","82.213","63.999"
"4","13","7","44","145","17.4","4","161.228","19.535","422.371","397.064"
"4","13","8","64","259","18.7","4","296.469","24.09","766.024","732.217"
"4","13","9","90","341","19.9","4","410.729","28.052","1043.786","1002.128"
"4","13","10","103","398","21.2","4","492.06","31.328","1231.668","1184.202"
"4","13","11","101","434","22","3.7","533.946","33.484","1322.647","1272.225"
"4","13","12","101","432","22.8","3.3","531.431","34.77","1308.132","1258.188"
"4","13","13","72","419","23.6","3","484.348","34.858","1191.628","1145.434"
"4","13","14","110","318","23.2","2.3","401.243","33.271","993.936","953.752"
"4","13","15","61","247","22.9","1.7","281.266","30.417","704.884","672.688"
"4","13","16","57","126","22.5","1","146.089","26.491","368.295","344.203"
"4","13","17","0","19","21.5","2","17.174","20.67","45.212","27.69"
"4","13","18","0","0","20.4","3","0","20.4","0","0"
"4","13","19","0","0","19.4","4","0","19.4","0","0"
"4","13","20","0","0","18.8","3.7","0","18.8","0","0"
"4","13","21","0","0","18.3","3.3","0","18.3","0","0"
"4","13","22","0","0","17.7","3","0","17.7","0","0"
"4","13","23","0","0","16.9","2","0","16.9","0","0"
"4","14","0","0","0","16.1","1","0","16.1","0","0"
"4","14","1","0","0","15.3","0","0","15.3","0","0"
"4","14","2","0","0","15","0.7","0","15","0","0"
"4","14","3","0","0","14.8","1.3","0","14.8","0","0"
"4","14","4","0","0","14.5","2","0","14.5","0","0"
"4","14","5","0","0","14.2","2","0","14.2","0","0"
"4","14","6","0","29","15.4","2.6","26.467","14.318","71.714","53.698"
"4","14","7","88","130","16.6","3.2","164.262","18.939","427.345","401.925"
"4","14","8","64","258","17.7","3.8","295.91","23.173","767.876","734.02"
"4","14","9","89","340","18.9","4.4","409.402","26.667","1047.295","1005.532"
"4","14","10","102","397","20.1","5","490.61","29.09","1241.355","1193.579"
"4","14","11","100","432","20.5","5","531.362","30.416","1336.016","1285.152"
"4","14","12","100","429","21","5","527.769","30.918","1323.769","1273.31"
"4","14","13","103","389","21.4","5","481.955","30.428","1211.591","1164.765"
"4","14","14","90","328","21.3","4.3","396.226","29.281","1000.838","960.451"
"4","14","15","64","243","21.1","3.7","279.308","26.786","712.101","679.717"
"4","14","16","41","128","21","3","142.337","23.58","365.325","341.299"
"4","14","17","0","23","19.6","2.3","20.816","18.823","55.263","37.555"
"4","14","18","0","0","18.1","1.7","0","18.1","0","0"
